timestamp,step,elapsed_s,temp_c,error_c,heater_norm,pwm_cmd,esp_safety,host_safety,phase,kp,ki,kd,ramp_loss,approach_loss,steady_loss
2026-04-06T22:36:12,45,77.8,29.0625,7.9375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.14883536100387573,,
2026-04-06T22:36:14,46,79.776,29.125,7.875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.11353974789381027,,
2026-04-06T22:36:15,47,81.692,29.1875,7.8125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.030589310452342033,,
2026-04-06T22:36:18,48,83.434,29.25,7.75,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.08634020388126373,,
2026-04-06T22:36:19,49,85.583,29.3125,7.6875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.08022939413785934,,
2026-04-06T22:36:21,50,87.231,29.375,7.625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.05514983460307121,,
2026-04-06T22:36:22,51,88.656,29.4375,7.5625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.06139429658651352,,
2026-04-06T22:36:24,52,90.091,29.4375,7.5625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.08157990127801895,,
2026-04-06T22:36:25,53,92.034,29.5,7.5,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.05349135398864746,,
2026-04-06T22:36:27,54,93.468,29.5625,7.4375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.0372677817940712,,
2026-04-06T22:36:29,55,95.311,29.625,7.375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.04026588052511215,,
2026-04-06T22:36:30,56,96.746,29.6875,7.3125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.054037824273109436,,
2026-04-06T22:36:32,57,98.176,29.75,7.25,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.03996545448899269,,
2026-04-06T22:36:33,58,99.578,29.8125,7.1875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.05640534311532974,,
2026-04-06T22:36:35,59,101.045,29.875,7.125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.021494444459676743,,
2026-04-06T22:36:36,60,102.888,29.9375,7.0625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.021330544725060463,,
2026-04-06T22:36:38,61,104.424,30.0,7.0,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.0500810369849205,,
2026-04-06T22:36:40,62,106.267,30.0625,6.9375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.03635986149311066,,
2026-04-06T22:36:42,63,108.216,30.125,6.875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.03358419984579086,,
2026-04-06T22:36:44,64,110.075,30.25,6.75,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.022015267983078957,,
2026-04-06T22:36:45,65,111.802,30.3125,6.6875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.035757679492235184,,
2026-04-06T22:36:47,66,113.248,30.375,6.625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.041050221771001816,,
2026-04-06T22:36:48,67,115.073,30.4375,6.5625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.02853010781109333,,
2026-04-06T22:36:51,68,116.508,30.5,6.5,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.04441290348768234,,
2026-04-06T22:36:53,69,118.66,30.5625,6.4375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.024883361533284187,,
2026-04-06T22:36:55,70,120.915,30.6875,6.3125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.025351833552122116,,
2026-04-06T22:36:57,71,122.723,30.75,6.25,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.02010473608970642,,
2026-04-06T22:36:58,72,124.58,30.875,6.125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.008965563960373402,,
2026-04-06T22:37:00,73,126.03,30.9375,6.0625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.0263567715883255,,
2026-04-06T22:37:02,74,127.773,31.0,6.0,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.03470294177532196,,
2026-04-06T22:37:04,75,129.719,31.0625,5.9375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.040144529193639755,,
2026-04-06T22:37:05,76,131.769,31.125,5.875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.016199054196476936,,
2026-04-06T22:37:08,77,133.303,31.1875,5.8125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.0246290136128664,,
2026-04-06T22:37:10,78,135.658,31.25,5.75,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.022668376564979553,,
2026-04-06T22:37:11,79,137.604,31.375,5.625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.011911316774785519,,
2026-04-06T22:37:13,80,139.469,31.4375,5.5625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.009325247257947922,,
2026-04-06T22:37:15,81,141.404,31.5625,5.4375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.010345187969505787,,
2026-04-06T22:37:18,82,143.352,31.625,5.375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.013566343113780022,,
2026-04-06T22:37:19,83,145.691,31.75,5.25,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.023969022557139397,,
2026-04-06T22:37:21,84,147.21,31.8125,5.1875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.011136692948639393,,
2026-04-06T22:37:23,85,148.98,31.875,5.125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.008321529254317284,,
2026-04-06T22:37:25,86,151.223,32.0,5.0,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.008169514127075672,,
2026-04-06T22:37:27,87,153.166,32.125,4.875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.004140868782997131,,
2026-04-06T22:37:29,88,154.935,32.1875,4.8125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.01567249558866024,,
2026-04-06T22:37:30,89,156.956,32.3125,4.6875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.017311567440629005,,
2026-04-06T22:37:32,90,158.491,32.375,4.625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.013302355073392391,,
2026-04-06T22:37:34,91,160.445,32.4375,4.5625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.010358916595578194,,
2026-04-06T22:37:36,92,162.522,32.5625,4.4375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.02014748565852642,,
2026-04-06T22:37:37,93,163.997,32.6875,4.3125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.016882792115211487,,
2026-04-06T22:37:39,94,165.484,32.75,4.25,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.012467560358345509,,
2026-04-06T22:37:41,95,167.329,32.8125,4.1875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.0037919480819255114,,
2026-04-06T22:37:43,96,169.165,32.9375,4.0625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.009512107819318771,,
2026-04-06T22:37:45,97,170.678,33.0,4.0,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.01864584907889366,,
2026-04-06T22:37:47,98,172.828,33.125,3.875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.002246200805529952,,
2026-04-06T22:37:49,99,174.67,33.1875,3.8125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.010605154559016228,,
2026-04-06T22:37:50,100,176.618,33.25,3.75,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.0038483659736812115,,
